id,clave,descripcion
catalogos_remolque_semiremolque1,CTR001,Caballete
catalogos_remolque_semiremolque2,CTR002,Caja
catalogos_remolque_semiremolque3,CTR003,Caja Abierta
catalogos_remolque_semiremolque4,CTR004,Caja Cerrada
catalogos_remolque_semiremolque5,CTR005,Caja De Recolección Con Cargador Frontal
catalogos_remolque_semiremolque6,CTR006,Caja Refrigerada
catalogos_remolque_semiremolque7,CTR007,Caja Seca
catalogos_remolque_semiremolque8,CTR008,Caja Transferencia
catalogos_remolque_semiremolque9,CTR009,Cama Baja o Cuello Ganso
catalogos_remolque_semiremolque10,CTR010,Chasis Portacontenedor
catalogos_remolque_semiremolque11,CTR011,Convencional De Chasis
catalogos_remolque_semiremolque12,CTR012,Equipo Especial
catalogos_remolque_semiremolque13,CTR013,Estacas
catalogos_remolque_semiremolque14,CTR014,Góndola Madrina
catalogos_remolque_semiremolque15,CTR015,Grúa Industrial
catalogos_remolque_semiremolque16,CTR016,Grúa 
catalogos_remolque_semiremolque17,CTR017,Integral
catalogos_remolque_semiremolque18,CTR018,Jaula
catalogos_remolque_semiremolque19,CTR019,Media Redila
catalogos_remolque_semiremolque20,CTR020,Pallet o Celdillas
catalogos_remolque_semiremolque21,CTR021,Plataforma
catalogos_remolque_semiremolque22,CTR022,Plataforma Con Grúa
catalogos_remolque_semiremolque23,CTR023,Plataforma Encortinada
catalogos_remolque_semiremolque24,CTR024,Redilas
catalogos_remolque_semiremolque25,CTR025,Refrigerador
catalogos_remolque_semiremolque26,CTR026,Revolvedora
catalogos_remolque_semiremolque27,CTR027,Semicaja
catalogos_remolque_semiremolque28,CTR028,Tanque
catalogos_remolque_semiremolque29,CTR029,Tolva
catalogos_remolque_semiremolque30,CTR030,Tractor
catalogos_remolque_semiremolque31,CTR031,Volteo
catalogos_remolque_semiremolque32,CTR032,Volteo Desmontable
